L,P
3.81,-3.21669105281652
3.82,-3.23403286869252
3.83,-3.25096397068612
3.84,-3.26731500727962
3.85,-3.28294305965745
3.86,-3.29773292032356
3.87,-3.31159657478598
3.88,-3.32447253466109
3.89,-3.33632360836344
3.9,-3.34713600557334
3.91,-3.356916785894
3.92,-3.36569281226168
3.93,-3.37350864369417
3.94,-3.38041747512375
3.95,-3.38647361559441
3.96,-3.39173071860468
3.97,-3.39624043546323
3.98,-3.40005217662314
3.99,-3.40321200250253
4,-3.40576270266189
4.01,-3.40774315495609
4.02,-3.4091884583371
4.03,-3.41013001382958
4.04,-3.4105952394758
4.05,-3.41060803991661
4.06,-3.41018852823876
4.07,-3.40935349064392
4.08,-3.40811599467577
4.09,-3.40648570339156
4.1,-3.40446866002983
4.11,-3.40206703908459
4.12,-3.39927912581469
4.13,-3.39610105621478
4.14,-3.39252887280977
4.15,-3.38855924835435
4.16,-3.3841898352804
4.17,-3.37941932691733
4.18,-3.37424772466806
4.19,-3.36867640747196
4.2,-3.36270829869187
4.21,-3.35634789205751
4.22,-3.34960131036328
4.23,-3.34247632025933
4.24,-3.3349822070804
4.25,-3.32713004710262
4.26,-3.31893232050711
4.27,-3.31040282446397
4.28,-3.30155706912585
4.29,-3.29241169058137
4.3,-3.28298434949739
