# Chunk-averaged data for fix velfile and group flow
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
100000 42 700
  1 -0.556143 0 0
  2 0.556143 0 0
  3 1.66843 0 0
  4 2.78071 16.8408 1.03109
  5 3.893 25.0376 1.34884
  6 5.00528 23.4096 1.40483
  7 6.11757 23.0081 1.40712
  8 7.22986 22.9686 1.41112
  9 8.34214 23.0414 1.41626
  10 9.45443 25.6058 1.42048
  11 10.5667 37.3209 1.41795
  12 11.679 26.6099 1.41642
  13 12.7913 23.2763 1.41824
  14 13.9036 23.2009 1.41761
  15 15.0159 22.4107 1.41933
  16 16.1281 25.1187 1.42163
  17 17.2404 36.7427 1.42234
  18 18.3527 27.1479 1.4211
  19 19.465 23.6013 1.42269
  20 20.5773 23.5535 1.42033
  21 21.6896 23.5441 1.41972
  22 22.8019 26.0118 1.42093
  23 23.9141 33.363 1.4223
  24 25.0264 26.969 1.41931
  25 26.1387 23.9483 1.41678
  26 27.251 23.6936 1.41345
  27 28.3633 23.8831 1.41059
  28 29.4756 25.4149 1.40105
  29 30.5879 28.3725 1.38745
  30 31.7001 26.5156 1.18757
  31 32.8124 4.0626 0.958135
  32 33.9247 1.3919 1.01475
  33 35.037 1.1149 1.02089
  34 36.1493 0.8419 0.996673
  35 37.2616 0.6714 0.83881
  36 38.3739 0.5356 0.754862
  37 39.4861 0.4144 0.675402
  38 40.5984 0.3107 0.375633
  39 41.7107 0.046 0.112116
  40 42.823 0 0
  41 43.9353 0 0
  42 45.0476 0 0
